lat,lon,timestamp,significant_wave_height_m,wave_period_s,swell_height_m,swell_direction_deg
13.5,73.08333333333331,2026-09-01T00:00:00Z,2.19,9.0,1.69,280.4
13.5,73.16666666666666,2026-09-01T00:00:00Z,2.18,9.0,1.69,280.2
13.5,73.25,2026-09-01T00:00:00Z,2.18,9.0,1.68,280.2
13.5,73.33333333333331,2026-09-01T00:00:00Z,2.17,9.0,1.67,280.1
13.5,73.41666666666666,2026-09-01T00:00:00Z,2.16,9.0,1.67,279.6
13.5,73.5,2026-09-01T00:00:00Z,2.15,9.0,1.67,279.8
13.5,73.58333333333331,2026-09-01T00:00:00Z,2.13,8.9,1.66,280.3
13.5,73.66666666666666,2026-09-01T00:00:00Z,2.1,8.9,1.69,280.5
13.5,73.75,2026-09-01T00:00:00Z,2.07,8.9,1.7,280.5
13.5,73.83333333333331,2026-09-01T00:00:00Z,2.04,8.9,1.71,280.8
13.5,73.91666666666666,2026-09-01T00:00:00Z,2.02,8.9,1.64,280.8
13.5,74.0,2026-09-01T00:00:00Z,1.99,8.9,1.3,265.9
13.5,74.08333333333331,2026-09-01T00:00:00Z,1.95,8.8,1.22,263.5
13.5,74.16666666666666,2026-09-01T00:00:00Z,1.91,8.8,1.19,263.7
13.5,74.25,2026-09-01T00:00:00Z,1.87,8.8,1.18,263.7
13.5,74.33333333333331,2026-09-01T00:00:00Z,1.83,8.7,1.16,263.8
13.5,74.41666666666666,2026-09-01T00:00:00Z,1.78,8.7,1.14,264.1
13.5,74.5,2026-09-01T00:00:00Z,1.75,8.7,1.13,264.2
13.5,74.58333333333331,2026-09-01T00:00:00Z,1.7,8.7,1.11,264.2
13.5,80.41666666666663,2026-09-01T00:00:00Z,0.91,10.7,0.62,150.0
13.5,80.5,2026-09-01T00:00:00Z,1.12,13.2,0.88,151.8
13.5,80.58333333333331,2026-09-01T00:00:00Z,1.23,12.7,0.93,154.1
13.5,80.66666666666663,2026-09-01T00:00:00Z,1.34,13.5,0.98,154.4
13.5,80.75,2026-09-01T00:00:00Z,1.41,14.1,1.0,154.4
13.5,80.83333333333331,2026-09-01T00:00:00Z,1.45,14.2,1.0,154.4
13.5,80.91666666666663,2026-09-01T00:00:00Z,1.49,14.2,1.01,155.2
13.5,81.0,2026-09-01T00:00:00Z,1.52,14.3,1.02,156.0
13.583333333333329,73.0,2026-09-01T00:00:00Z,2.19,9.0,1.7,280.7
13.583333333333329,73.08333333333331,2026-09-01T00:00:00Z,2.19,9.0,1.71,280.7
13.583333333333329,73.16666666666666,2026-09-01T00:00:00Z,2.18,9.0,1.69,280.6
13.583333333333329,73.25,2026-09-01T00:00:00Z,2.18,9.0,1.68,280.6
13.583333333333329,73.33333333333331,2026-09-01T00:00:00Z,2.17,9.0,1.66,280.3
13.583333333333329,73.41666666666666,2026-09-01T00:00:00Z,2.16,8.9,1.65,279.9
13.583333333333329,73.5,2026-09-01T00:00:00Z,2.15,8.9,1.66,279.8
13.583333333333329,73.58333333333331,2026-09-01T00:00:00Z,2.13,8.9,1.51,270.4
13.583333333333329,73.66666666666666,2026-09-01T00:00:00Z,2.1,8.9,1.38,262.7
13.583333333333329,73.75,2026-09-01T00:00:00Z,2.07,8.9,1.34,262.7
13.583333333333329,73.83333333333331,2026-09-01T00:00:00Z,2.05,8.9,1.34,262.8
13.583333333333329,73.91666666666666,2026-09-01T00:00:00Z,2.02,8.9,1.32,262.9
13.583333333333329,74.0,2026-09-01T00:00:00Z,1.99,8.9,1.25,263.1
13.583333333333329,74.08333333333331,2026-09-01T00:00:00Z,1.95,8.8,1.23,263.3
13.583333333333329,74.16666666666666,2026-09-01T00:00:00Z,1.91,8.8,1.2,263.4
13.583333333333329,74.25,2026-09-01T00:00:00Z,1.87,8.8,1.19,263.4
13.583333333333329,74.33333333333331,2026-09-01T00:00:00Z,1.83,8.8,1.17,263.6
13.583333333333329,74.41666666666666,2026-09-01T00:00:00Z,1.79,8.8,1.16,263.9
13.583333333333329,74.5,2026-09-01T00:00:00Z,1.75,8.7,1.14,263.9
13.583333333333329,74.58333333333331,2026-09-01T00:00:00Z,1.68,8.7,1.12,263.7
13.583333333333329,80.41666666666663,2026-09-01T00:00:00Z,0.9,13.2,0.68,149.4
13.583333333333329,80.5,2026-09-01T00:00:00Z,1.09,13.3,0.87,151.9
13.583333333333329,80.58333333333331,2026-09-01T00:00:00Z,1.21,13.1,0.93,154.3
13.583333333333329,80.66666666666663,2026-09-01T00:00:00Z,1.31,13.6,0.97,154.8
13.583333333333329,80.75,2026-09-01T00:00:00Z,1.38,13.9,0.98,154.8
13.583333333333329,80.83333333333331,2026-09-01T00:00:00Z,1.43,14.1,0.99,155.2
13.583333333333329,80.91666666666663,2026-09-01T00:00:00Z,1.46,14.2,0.99,155.8
13.583333333333329,81.0,2026-09-01T00:00:00Z,1.49,14.2,0.99,156.3
13.666666666666657,73.0,2026-09-01T00:00:00Z,2.2,9.0,1.69,280.1
13.666666666666657,73.08333333333331,2026-09-01T00:00:00Z,2.19,9.0,1.7,280.5
13.666666666666657,73.16666666666666,2026-09-01T00:00:00Z,2.19,8.9,1.69,280.5
13.666666666666657,73.25,2026-09-01T00:00:00Z,2.19,8.9,1.67,280.5
13.666666666666657,73.33333333333331,2026-09-01T00:00:00Z,2.18,8.9,1.64,280.0
13.666666666666657,73.41666666666666,2026-09-01T00:00:00Z,2.17,8.9,1.56,276.2
13.666666666666657,73.5,2026-09-01T00:00:00Z,2.16,8.9,1.38,262.1
13.666666666666657,73.58333333333331,2026-09-01T00:00:00Z,2.13,8.9,1.33,262.0
13.666666666666657,73.66666666666666,2026-09-01T00:00:00Z,2.1,8.9,1.29,262.2
13.666666666666657,73.75,2026-09-01T00:00:00Z,2.08,8.9,1.27,262.2
13.666666666666657,73.83333333333331,2026-09-01T00:00:00Z,2.05,8.9,1.26,262.3
13.666666666666657,73.91666666666666,2026-09-01T00:00:00Z,2.01,8.8,1.25,262.4
13.666666666666657,74.0,2026-09-01T00:00:00Z,1.97,8.8,1.23,262.5
13.666666666666657,74.08333333333331,2026-09-01T00:00:00Z,1.94,8.8,1.22,262.9
13.666666666666657,74.16666666666666,2026-09-01T00:00:00Z,1.91,8.8,1.21,263.2
13.666666666666657,74.25,2026-09-01T00:00:00Z,1.87,8.8,1.2,263.2
13.666666666666657,74.33333333333331,2026-09-01T00:00:00Z,1.84,8.8,1.18,263.4
13.666666666666657,74.41666666666666,2026-09-01T00:00:00Z,1.8,8.8,1.17,263.5
13.666666666666657,74.5,2026-09-01T00:00:00Z,1.75,8.7,1.15,263.6
13.666666666666657,74.58333333333331,2026-09-01T00:00:00Z,1.67,8.8,1.12,263.1
13.666666666666657,74.66666666666666,2026-09-01T00:00:00Z,1.3,7.8,0.92,270.1
13.666666666666657,80.33333333333331,2026-09-01T00:00:00Z,0.64,13.7,0.44,143.7
13.666666666666657,80.41666666666663,2026-09-01T00:00:00Z,0.84,13.5,0.67,147.6
13.666666666666657,80.5,2026-09-01T00:00:00Z,1.07,13.0,0.88,152.0
13.666666666666657,80.58333333333331,2026-09-01T00:00:00Z,1.19,13.3,0.93,154.9
13.666666666666657,80.66666666666663,2026-09-01T00:00:00Z,1.29,13.7,0.96,155.8
13.666666666666657,80.75,2026-09-01T00:00:00Z,1.36,14.0,0.98,155.8
13.666666666666657,80.83333333333331,2026-09-01T00:00:00Z,1.4,14.1,0.99,156.2
13.666666666666657,80.91666666666663,2026-09-01T00:00:00Z,1.44,14.1,0.98,157.0
13.666666666666657,81.0,2026-09-01T00:00:00Z,1.47,14.2,0.95,156.0
13.75,73.0,2026-09-01T00:00:00Z,2.21,8.9,1.67,279.8
13.75,73.08333333333331,2026-09-01T00:00:00Z,2.21,8.9,1.67,279.7
13.75,73.16666666666666,2026-09-01T00:00:00Z,2.21,8.9,1.66,279.5
13.75,73.25,2026-09-01T00:00:00Z,2.2,8.9,1.65,279.5
13.75,73.33333333333331,2026-09-01T00:00:00Z,2.19,8.9,1.58,279.0
