lat,lon,timestamp,wind_speed_kmh,wind_direction_deg,gust_speed_kmh
13.4375,75.3125,2026-09-01T00:00:00Z,4.23,221.6,5.71
13.4375,75.4375,2026-09-01T00:00:00Z,2.78,221.3,3.75
13.4375,75.5625,2026-09-01T00:00:00Z,3.33,234.2,4.49
13.4375,75.6875,2026-09-01T00:00:00Z,6.88,281.8,9.28
13.4375,75.8125,2026-09-01T00:00:00Z,5.95,285.8,8.03
13.4375,75.9375,2026-09-01T00:00:00Z,1.98,254.2,2.68
13.4375,76.0625,2026-09-01T00:00:00Z,2.51,188.2,3.39
13.4375,76.1875,2026-09-01T00:00:00Z,3.04,249.2,4.11
13.4375,76.3125,2026-09-01T00:00:00Z,4.9,272.1,6.61
13.4375,76.4375,2026-09-01T00:00:00Z,6.46,277.0,8.72
13.4375,76.5625,2026-09-01T00:00:00Z,7.6,275.7,10.26
13.4375,76.6875,2026-09-01T00:00:00Z,10.48,281.9,14.15
13.4375,76.8125,2026-09-01T00:00:00Z,11.44,280.9,15.44
13.4375,76.9375,2026-09-01T00:00:00Z,11.02,278.3,14.88
13.4375,77.0625,2026-09-01T00:00:00Z,10.24,275.9,13.83
13.4375,77.1875,2026-09-01T00:00:00Z,12.89,269.2,17.4
13.4375,77.3125,2026-09-01T00:00:00Z,12.53,265.6,16.92
13.4375,77.4375,2026-09-01T00:00:00Z,11.14,267.0,15.04
13.4375,77.5625,2026-09-01T00:00:00Z,10.44,274.9,14.1
13.4375,77.6875,2026-09-01T00:00:00Z,13.04,279.9,17.61
13.4375,77.8125,2026-09-01T00:00:00Z,14.27,276.4,19.27
13.4375,77.9375,2026-09-01T00:00:00Z,14.75,273.4,19.91
13.4375,78.0625,2026-09-01T00:00:00Z,14.67,272.8,19.8
13.4375,78.1875,2026-09-01T00:00:00Z,14.12,276.1,19.06
13.4375,78.3125,2026-09-01T00:00:00Z,14.93,278.6,20.15
13.4375,78.4375,2026-09-01T00:00:00Z,15.87,279.3,21.42
13.4375,78.5625,2026-09-01T00:00:00Z,15.97,279.1,21.56
13.4375,78.6875,2026-09-01T00:00:00Z,14.53,279.6,19.61
13.4375,78.8125,2026-09-01T00:00:00Z,15.27,282.5,20.61
13.4375,78.9375,2026-09-01T00:00:00Z,13.97,290.7,18.86
13.4375,79.0625,2026-09-01T00:00:00Z,12.01,300.6,16.21
13.4375,79.1875,2026-09-01T00:00:00Z,10.04,306.5,13.55
13.4375,79.3125,2026-09-01T00:00:00Z,10.56,295.9,14.26
13.4375,79.4375,2026-09-01T00:00:00Z,9.65,292.8,13.02
13.4375,79.5625,2026-09-01T00:00:00Z,8.31,295.1,11.22
13.4375,79.6875,2026-09-01T00:00:00Z,6.91,300.7,9.33
13.4375,79.8125,2026-09-01T00:00:00Z,4.6,290.1,6.21
13.4375,79.9375,2026-09-01T00:00:00Z,4.86,271.7,6.56
13.4375,80.0625,2026-09-01T00:00:00Z,6.22,249.7,8.4
13.4375,80.1875,2026-09-01T00:00:00Z,8.35,232.9,11.28
13.4375,80.3125,2026-09-01T00:00:00Z,10.31,229.0,13.92
13.4375,80.4375,2026-09-01T00:00:00Z,14.63,211.1,19.75
13.4375,80.5625,2026-09-01T00:00:00Z,19.5,204.0,26.33
13.4375,80.6875,2026-09-01T00:00:00Z,23.58,195.6,31.84
13.4375,80.8125,2026-09-01T00:00:00Z,26.46,192.7,35.72
13.4375,80.9375,2026-09-01T00:00:00Z,28.65,192.8,38.68
13.5625,73.0625,2026-09-01T00:00:00Z,28.28,291.3,38.18
13.5625,73.1875,2026-09-01T00:00:00Z,28.09,291.3,37.91
13.5625,73.3125,2026-09-01T00:00:00Z,25.16,292.2,33.96
13.5625,73.4375,2026-09-01T00:00:00Z,20.5,293.3,27.67
13.5625,73.5625,2026-09-01T00:00:00Z,20.02,289.5,27.02
13.5625,73.6875,2026-09-01T00:00:00Z,18.47,296.0,24.93
13.5625,73.8125,2026-09-01T00:00:00Z,17.18,301.0,23.2
13.5625,73.9375,2026-09-01T00:00:00Z,14.24,312.8,19.22
13.5625,74.0625,2026-09-01T00:00:00Z,9.95,340.1,13.44
13.5625,74.1875,2026-09-01T00:00:00Z,7.58,349.6,10.23
13.5625,74.3125,2026-09-01T00:00:00Z,9.84,310.1,13.28
13.5625,74.4375,2026-09-01T00:00:00Z,19.14,294.7,25.83
13.5625,74.5625,2026-09-01T00:00:00Z,9.84,295.3,13.28
13.5625,74.6875,2026-09-01T00:00:00Z,4.09,306.8,5.52
13.5625,74.8125,2026-09-01T00:00:00Z,0.36,354.3,0.49
13.5625,74.9375,2026-09-01T00:00:00Z,1.44,157.9,1.94
13.5625,75.0625,2026-09-01T00:00:00Z,2.72,212.0,3.67
13.5625,75.1875,2026-09-01T00:00:00Z,4.34,217.9,5.85
13.5625,75.3125,2026-09-01T00:00:00Z,5.57,217.9,7.51
13.5625,75.4375,2026-09-01T00:00:00Z,6.63,214.4,8.95
13.5625,75.5625,2026-09-01T00:00:00Z,7.67,212.3,10.35
13.5625,75.6875,2026-09-01T00:00:00Z,8.56,235.1,11.55
13.5625,75.8125,2026-09-01T00:00:00Z,9.85,260.5,13.3
13.5625,75.9375,2026-09-01T00:00:00Z,9.51,272.6,12.84
13.5625,76.0625,2026-09-01T00:00:00Z,7.25,276.6,9.78
13.5625,76.1875,2026-09-01T00:00:00Z,8.84,278.2,11.93
13.5625,76.3125,2026-09-01T00:00:00Z,11.33,283.6,15.3
13.5625,76.4375,2026-09-01T00:00:00Z,12.57,283.2,16.98
13.5625,76.5625,2026-09-01T00:00:00Z,12.52,278.6,16.91
13.5625,76.6875,2026-09-01T00:00:00Z,12.1,271.9,16.34
13.5625,76.8125,2026-09-01T00:00:00Z,12.36,274.8,16.68
13.5625,76.9375,2026-09-01T00:00:00Z,12.34,277.4,16.66
13.5625,77.0625,2026-09-01T00:00:00Z,12.62,277.0,17.04
13.5625,77.1875,2026-09-01T00:00:00Z,14.2,272.8,19.17
13.5625,77.3125,2026-09-01T00:00:00Z,12.21,267.6,16.49
13.5625,77.4375,2026-09-01T00:00:00Z,9.02,262.0,12.17
13.5625,77.5625,2026-09-01T00:00:00Z,8.08,260.0,10.91
13.5625,77.6875,2026-09-01T00:00:00Z,12.26,267.0,16.55
13.5625,77.8125,2026-09-01T00:00:00Z,15.57,272.5,21.02
13.5625,77.9375,2026-09-01T00:00:00Z,15.78,272.2,21.3
13.5625,78.0625,2026-09-01T00:00:00Z,14.8,269.9,19.97
13.5625,78.1875,2026-09-01T00:00:00Z,13.76,267.8,18.58
13.5625,78.3125,2026-09-01T00:00:00Z,13.54,270.6,18.27
13.5625,78.4375,2026-09-01T00:00:00Z,14.97,273.6,20.21
13.5625,78.5625,2026-09-01T00:00:00Z,15.16,274.2,20.47
13.5625,78.6875,2026-09-01T00:00:00Z,13.92,273.3,18.79
13.5625,78.8125,2026-09-01T00:00:00Z,15.39,277.4,20.78
13.5625,78.9375,2026-09-01T00:00:00Z,14.79,288.7,19.96
13.5625,79.0625,2026-09-01T00:00:00Z,14.02,300.4,18.93
13.5625,79.1875,2026-09-01T00:00:00Z,12.97,306.6,17.51
